ID,Latitude,Longitude,Project Name,Developer,Area Code,Type,Total Units,Sold Units,Avg. Price (Units),Usable Area (sq.m.),Land Area (sq.w.),Sale Speed (6 เดือน),Sale Speed,Launch date (YY.MM),H1.67,H2.67,H1.68,H2.68
P001,13.7950,100.5490,The Niche Ratchada,SENA Development,AB,Condo,412,371,3250000,28.5,,4.20,8.50,66.06,3.80,4.60,4.20,3.90
P002,13.7950,100.5490,The Niche Ratchada,SENA Development,AB,1 Bedroom,180,162,3850000,35.0,,3.10,6.20,66.06,2.80,3.40,3.10,2.90
P003,13.7820,100.5610,Aspire Rama 9,AP Thai,AB,Condo,650,559,3950000,30.0,,5.80,12.10,65.09,5.20,6.10,5.80,5.50
P003,13.7820,100.5610,Aspire Rama 9,AP Thai,AB,1 Bedroom,280,238,4500000,36.5,,3.90,7.80,65.09,3.50,4.10,3.90,3.60
P004,13.7680,100.5730,Life Asoke Hype,AP Thai,AC,Condo,820,672,4800000,26.0,,6.50,14.20,65.01,5.80,6.90,6.50,6.10
P004,13.7680,100.5730,Life Asoke Hype,AP Thai,AC,1 Bedroom,350,280,5600000,34.0,,4.20,9.10,65.01,3.80,4.50,4.20,3.90
P005,13.7540,100.5340,Noble Revolve Ratchada,Noble Development,AB,Condo,520,426,3650000,25.5,,4.80,10.50,66.01,4.30,5.10,4.80,4.50
P006,13.7890,100.5850,Rhythm Asoke II,AP Thai,AC,Condo,480,408,5200000,27.0,,5.10,10.80,65.06,4.60,5.40,5.10,4.80
P007,13.7630,100.5150,IDEO Mobi Rangnam,Ananda,AD,Condo,380,323,4100000,29.5,,3.60,7.90,66.03,3.20,3.80,3.60,3.40
P008,13.7470,100.5390,The Line Ratchathewi,Sansiri,AD,Condo,690,600,5500000,31.0,,6.80,14.50,64.12,6.10,7.20,6.80,6.40
P008,13.7470,100.5390,The Line Ratchathewi,Sansiri,AD,2 Bedroom,220,176,7800000,52.0,,2.80,5.90,64.12,2.50,3.00,2.80,2.60
P009,13.8120,100.5620,KnightsBridge Kaset,Origin Property,AE,Condo,560,448,2850000,24.5,,4.50,9.80,66.06,4.00,4.80,4.50,4.20
P010,13.8230,100.5140,Grene Condo Chaengwattana,Frasers Property,AE,Condo,420,357,2450000,26.0,,3.90,8.40,66.09,3.50,4.10,3.90,3.70
P011,13.7350,100.5680,Ideo Q Sukhumvit 36,Ananda,AF,Condo,350,298,6200000,32.0,,4.10,8.90,65.03,3.70,4.30,4.10,3.80
P012,13.7280,100.5850,Whizdom Essence Sukhumvit,MQDC,AF,Condo,450,360,7500000,38.0,,4.60,9.50,65.06,4.10,4.90,4.60,4.30
